Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Logo,FDC Landing Page,Ad Landing Page,Brand Category(s),Investment,Brand Overview
All Dry,all-dry,692dd76b6cbcb6f27c8dca2b,6967ce6408d5b3231208f3be,false,false,Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce6408d5b3231208f3a3_685ad2268c07724f99f8ccf4_logo.2311101351124.png,https://www.frandev.co/brands/all-dry,,,,"All Dry Services is a property restoration franchise specializing in water damage, disaster recovery, and cleanup services for homeowners and businesses. Founded in 2014, the company offers a recession-proof business model with 24/7 support and proven systems for scalable operations."
Conquer Padel,conquer-padel,692dd76b6cbcb6f27c8dca2b,6967ce6177ca89ba9eb777c1,false,false,Wed Jan 14 2026 17:12:01 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:01 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce6177ca89ba9eb777a8_67d07548cf944bcee5fba737_Conquer-Padel-Logo-Gold-and-Black.png,https://www.frandev.co/brands/conquer-padel,,,,"Conquer Padel Club is a premier sports franchise offering state-of-the-art indoor padel facilities designed for players of all skill levels. The brand capitalizes on padel's explosive market growth with revenue from memberships, court rentals, coaching, tournaments, and food & beverage services."
DuraFleet,durafleet,692dd76b6cbcb6f27c8dca2b,6967ce64ba15901e24a3f7de,false,false,Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce64ba15901e24a3f7bc_6851b7016d52a602d546ddf5_durafleet-logo.svg,https://www.frandev.co/brands/durafleet,,,,"DuraFleet is a mobile fleet repair franchise that brings maintenance and repair services directly to businesses relying on their vehicles. The franchise targets fleet owners seeking convenient DOT inspections, preventive maintenance, and roadside assistance through a scalable, home-based business model with low overhead."
Heights Wellness Retreat,heights-wellness-retreat,692dd76b6cbcb6f27c8dca2b,6967ce65cb4009c37a3fecd6,false,false,Wed Jan 14 2026 17:12:05 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:05 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce65cb4009c37a3feccf_68adf4c4eabbfa4390aa7c57_Corporate-Logo.2412161516287.png,https://www.frandev.co/brands/heights-wellness-retreat,,,,"Heights Wellness Retreat is a health and wellness franchise offering massage therapy, skincare, and holistic wellness services in an upscale yet affordable environment. With 100+ locations and 95% customer retention, the franchise features a recurring revenue model with 74% from memberships."
Main Squeeze,main-squeeze,692dd76b6cbcb6f27c8dca2b,6967ce6469aceab44fe4a7db,false,false,Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce6369aceab44fe4a7c1_67dc491a07791fa6b4628114_Main%2520Squeeze%2520Logo.png,https://www.frandev.co/brands/main-squeeze,,,,Main Squeeze Juice Co. is a health-focused franchise offering nutritionist-designed juices and superfood-inspired beverages with a mission of Making Healthy Easier. The franchise serves health-conscious consumers and provides comprehensive support with flexible location options for wellness-passionate entrepreneurs.
Morelia Gourmet Paletas,morelia-gourmet-paletas,692dd76b6cbcb6f27c8dca2b,6967ce64cbe3261418a0ad2e,false,false,Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:04 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce63cbe3261418a0ad28_6927350e20bdf57af992b4b2_color%2520with%2520white%2520outline.png,https://www.frandev.co/brands/morelia-gourmet-paletas,,,,Morelia Gourmet Paletas is a Mexican-inspired frozen dessert franchise offering artisanal paletas with low startup costs and high profit margins. The brand appeals to entrepreneurs seeking a small-footprint business opportunity in the growing premium ice cream market with comprehensive franchisee support.
MosquitoNix,mosquitonix,692dd76b6cbcb6f27c8dca2b,6967ce62810fa1e3d9c6fd34,false,false,Wed Jan 14 2026 17:12:02 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:02 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce62810fa1e3d9c6fd13_658f296c573b9b2d7456059e_mosquitonix20220504103620.png,https://www.frandev.co/brands/mosquitonix,,,,"MosquitoNix is a nationwide pest control franchise offering custom outdoor insect misting systems, fogging treatments, and seasonal holiday lighting services. The franchise appeals to entrepreneurs through its recurring revenue model, corporate-managed client acquisition, and proprietary technology with mobile app monitoring."
PatchMaster,patchmaster,692dd76b6cbcb6f27c8dca2b,6967ce629360c297ecf7b219,false,false,Wed Jan 14 2026 17:12:02 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:02 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce629360c297ecf7b1ee_64136af2cb832fe9c673938b_PatchMaster%2520Logo.webp,https://www.frandev.co/brands/patchmaster,,,,"PatchMaster is a rapidly expanding low-cost franchise specializing in same-day drywall repair services for homeowners and trade professionals. With no brick-and-mortar requirements and comprehensive training support, franchisees can reach profitability quickly while building flexible, growth-oriented operations."
Patrice & Associates,patrice-associates,692dd76b6cbcb6f27c8dca2b,6967ce637a9c958f4d218eb6,false,false,Wed Jan 14 2026 17:12:03 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:03 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce637a9c958f4d218e7a_6807d4b44ddcc17fe4fdea24_Patrice_and_Associates_Logo-removebg-preview.png,https://www.frandev.co/brands/patrice-associates,,,,"Patrice & Associates is a staffing and executive search franchise specializing in the hospitality industry, connecting top brands like Marriott and Hilton with qualified management candidates. The franchise offers proven recruiting processes, immediate client leads on day one, and the ability to scale through hiring additional recruiters."
Resting Rainbow,resting-rainbow,692dd76b6cbcb6f27c8dca2b,6967ce6210e404515dab82c0,false,false,Wed Jan 14 2026 17:12:02 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 17:12:02 GMT+0000 (Coordinated Universal Time),Wed Jan 14 2026 18:25:12 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/640f8037f2f5886bce42d689/6967ce6210e404515dab828f_66c38861670de1ddefd97c16_Resting%2520Rainbow%2520Pet%2520Memorials%2520and%2520Cremation%2520TL%2520FF-01.png,https://www.frandev.co/brands/resting-rainbow,,,,"Resting Rainbow is a pet memorial and cremation service franchise providing compassionate, dignified end-of-life care for beloved pets. The business serves pet owners and B2B clients including veterinary clinics, offering a non-seasonal business with minimal staffing requirements in an underserved market."
